DATAFLOW,MEASURE: Measure,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,UNIT_MULT: Unit of Multiplier,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2008-Q1,10820,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2008-Q2,7770,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2008-Q3,9421,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2008-Q4,9240,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2009-Q1,11278,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2009-Q2,9924,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2009-Q3,10999,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2009-Q4,9791,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2010-Q1,9304,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2010-Q2,8203,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2010-Q3,8490,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2010-Q4,8115,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2011-Q1,7438,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2011-Q2,7524,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2011-Q3,8598,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2011-Q4,8498,NUM: Number,0: Units,,
