DATAFLOW,MEASURE: Measure,PROPERTY_TYPE: Property type,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2008-Q1,97.5,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2008-Q2,98.9,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2008-Q3,95.5,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2008-Q4,94.3,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2009-Q1,94.2,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2009-Q2,97.5,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2009-Q3,101.4,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2009-Q4,103.1,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2010-Q1,102.9,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2010-Q2,104.6,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2010-Q3,102.7,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2010-Q4,101.7,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2011-Q1,98.9,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2011-Q2,100.5,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2011-Q3,99.1,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2011-Q4,100.5,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2012-Q1,99.5,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2012-Q2,100.9,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2012-Q3,101.5,IN: Index Numbers,,
