Date,IRON,GOLD,COFFEE,TEA,HOUSE PRICE,UNITS SOLD,DATEVALUE
2007M01,78.2,631.17,2.75,1.79,7334500,9,39083
2007M02,82.66,664.75,2.69,1.78,5957500,9,39114
2007M03,88.55,654.9,2.58,1.77,11498000,13,39142
2007M04,91.26,679.37,2.53,1.98,7266000,9,39173
2007M05,102.02,667.31,2.5,1.94,7391500,10,39203
2007M06,103.21,655.66,2.63,2.07,10929500,15,39234
2007M07,106.09,665.38,2.59,2.13,11739000,16,39264
2007M08,121.89,665.41,2.72,2.07,12882000,16,39295
2007M09,148.65,712.65,2.82,2.13,10500000,15,39326
2007M10,168.11,754.6,2.96,2.25,11273000,17,39356
2007M11,195.09,806.25,2.89,2.21,4559500,6,39387
2007M12,190.12,803.2,3.03,2.31,7355000,8,39417
2008M01,193.37,889.6,3.08,2.38,7462000,11,39448
2008M02,186.12,922.3,3.47,2.4,6505000,10,39479
2008M03,197.12,968.43,3.3,2.26,7853000,9,39508
2008M04,195.95,909.71,3.1,2.49,12432500,17,39539
2008M05,192.95,888.66,3.13,2.48,5434500,7,39569
2008M06,183.93,889.49,3.22,2.67,5828000,11,39600
2008M07,180.5,939.77,3.25,2.76,6764500,13,39630
2008M08,178.74,839.03,3.23,2.74,9875000,12,39661
2008M09,139.64,829.93,3.16,2.67,6682500,11,39692
2008M10,88.67,806.62,2.72,2.3,10775000,18,39722
2008M11,64.95,760.86,2.69,1.97,5631500,12,39753
2008M12,69.98,816.09,2.62,1.93,5593000,10,39783
2009M01,72.51,858.69,2.83,2.19,14178500,19,39814
2009M02,75.59,943.0,2.85,2.14,9970500,18,39845
2009M03,64.07,924.27,2.83,2.22,10899500,17,39873
2009M04,59.78,890.2,2.97,2.51,7798000,17,39904
2009M05,62.69,928.65,3.33,2.69,9123000,13,39934
2009M06,71.66,945.67,3.3,2.78,11559000,19,39965
2009M07,83.95,934.23,3.11,2.96,17858500,24,39995
2009M08,97.67,949.38,3.3,2.99,17689500,25,40026
2009M09,80.71,996.59,3.27,3.16,20877000,31,40057
2009M10,86.79,1043.16,3.41,3.03,12632000,18,40087
2009M11,99.26,1127.04,3.36,3.06,13734500,21,40118
2009M12,105.07,1134.72,3.49,2.97,12654500,20,40148
2010M01,125.72,1117.96,3.5,2.9,13545000,19,40179
2010M02,127.49,1095.41,3.48,2.85,11571000,19,40210
2010M03,139.69,1113.34,3.63,2.62,26709000,34,40238
2010M04,172.47,1148.69,3.73,2.77,12789492,19,40269
2010M05,161.35,1205.43,3.82,2.8,18731500,27,40299
2010M06,143.63,1232.92,4.21,2.72,16185200,22,40330
2010M07,126.36,1192.97,4.48,2.86,11761500,16,40360
2010M08,145.34,1215.81,4.66,2.99,16467300,20,40391
2010M09,140.63,1270.98,4.91,3.0,17507500,23,40422
2010M10,148.48,1342.02,4.8,3.03,13104000,17,40452
2010M11,156.1,1369.89,5.15,3.03,23183000,29,40483
2010M12,163.1,1390.55,5.47,3.04,19070900,26,40513
2011M01,179.18,1360.46,5.82,3.02,18120000,25,40544
2011M02,187.18,1374.68,6.35,2.88,17252166,28,40575
2011M03,169.36,1423.26,6.44,2.76,17089500,24,40603
2011M04,179.33,1480.89,6.62,3.02,21331000,27,40634
2011M05,177.05,1512.58,6.42,2.95,20228000,29,40664
2011M06,170.88,1529.36,6.06,3.02,18342966,26,40695
2011M07,172.98,1572.75,5.91,3.1,17499000,24,40725
2011M08,177.5,1759.01,5.96,3.02,25895850,36,40756
2011M09,177.23,1772.14,6.06,2.89,16784450,29,40787
2011M10,150.43,1666.43,5.46,2.9,25170500,38,40817
2011M11,135.54,1739.0,5.4,2.79,21555800,40,40848
2011M12,136.39,1639.97,5.22,2.7,21762000,36,40878
2012M01,140.26,1654.05,5.23,2.66,23230900,39,40909
2012M02,140.4,1744.82,4.94,2.57,22412977,38,40940
2012M03,144.66,1675.95,4.44,2.42,21136000,33,40969
2012M04,147.64,1649.2,4.22,2.79,28959000,45,41000
2012M05,136.61,1589.04,4.07,3.0,36965000,55,41030
2012M06,134.66,1598.76,3.72,2.97,31869000,47,41061
2012M07,127.94,1594.29,4.2,3.03,34629000,62,41091
2012M08,107.5,1630.31,3.85,3.12,35498000,59,41122
2012M09,99.47,1744.81,3.95,3.1,34673500,53,41153
2012M10,113.95,1746.58,3.82,3.01,39952000,69,41183
2012M11,120.35,1721.64,3.53,3.02,39391500,62,41214
2012M12,128.51,1684.76,3.37,3.08,33579500,53,41244
2013M01,150.49,1671.85,3.47,3.0,53590000,80,41275
2013M02,154.64,1627.57,3.3,2.93,42774900,73,41306
2013M03,139.87,1593.09,3.3,2.9,68807992,113,41334
