Date,Price
2006M01,67.2
2006M02,65.2
2006M03,66.7
2006M04,67.3
2006M05,67.3
2006M06,69.3
2006M07,70.5
2006M08,69.8
2006M09,70
2006M10,71.7
2006M11,73.5
2006M12,73.5
2007M01,78.2
2007M02,82.66
2007M03,88.55
2007M04,91.26
2007M05,102.02
2007M06,103.21
2007M07,106.09
2007M08,121.89
2007M09,148.65
2007M10,168.11
2007M11,195.09
2007M12,190.12
2008M01,193.37
2008M02,186.12
2008M03,197.12
2008M04,195.95
2008M05,192.95
2008M06,183.93
2008M07,180.5
2008M08,178.74
2008M09,139.64
2008M10,88.67
2008M11,64.95
2008M12,69.98
2009M01,72.51
2009M02,75.59
2009M03,64.07
2009M04,59.78
2009M05,62.69
2009M06,71.66
2009M07,83.95
2009M08,97.67
2009M09,80.71
2009M10,86.79
2009M11,99.26
2009M12,105.07
2010M01,125.72
2010M02,127.49
2010M03,139.69
2010M04,172.47
2010M05,161.35
2010M06,143.63
2010M07,126.36
2010M08,145.34
2010M09,140.63
2010M10,148.48
2010M11,156.1
2010M12,163.1
2011M01,179.18
2011M02,187.18
2011M03,169.36
2011M04,179.33
2011M05,177.05
2011M06,170.88
2011M07,172.98
2011M08,177.5
2011M09,177.23
2011M10,150.43
2011M11,135.54
2011M12,136.39
2012M01,140.26
2012M02,140.4
2012M03,144.66
2012M04,147.64
2012M05,136.61
2012M06,134.66
2012M07,127.94
2012M08,107.5
2012M09,99.47
2012M10,113.95
2012M11,120.35
2012M12,128.51
2013M01,150.49
2013M02,154.64
2013M03,139.87
2013M04,137.39
2013M05,124.01
2013M06,114.82
2013M07,127.19
2013M08,137.06
2013M09,134.19
2013M10,132.57
2013M11,136.32
2013M12,135.79
2014M01,128.12
2014M02,121.37
2014M03,111.83
2014M04,114.58
2014M05,100.56
2014M06,92.74
2014M07,96.05
2014M08,92.61
2014M09,82.38
2014M10,81.06
2014M11,73.73
2014M12,68.39
2015M01,68.23
2015M02,62.75
2015M03,58.05
2015M04,52.28
2015M05,60.3
2015M06,62.63
2015M07,52.39
2015M08,56.19
2015M09,56.95
2015M10,53.12
2015M11,46.86
2015M12,40.5
2016M01,41.88
2016M02,46.83
2016M03,56.2
2016M04,60.92
2016M05,55.13
2016M06,51.98
2016M07,57.26
2016M08,60.89
2016M09,57.79
2016M10,59.09
2016M11,73.1
2016M12,80.02
2017M01,80.41
2017M02,89.44
2017M03,87.65
2017M04,70.22
2017M05,62.43
2017M06,57.48
2017M07,67.74
2017M08,76.07
2017M09,71.53
2017M10,61.66
2017M11,64.24
2017M12,72.25
2018M01,76.34
2018M02,77.46
2018M03,70.35
2018M04,65.75
2018M05,66.1
2018M06,65.04
2018M07,64.56
2018M08,67.15
2018M09,68.44
2018M10,73.41
2018M11,73.26
2018M12,69.16
2019M01,76.16
2019M02,88.22
2019M03,86.47
2019M04,93.7
2019M05,100.15
2019M06,108.94
2019M07,120.24
2019M08,93.07
2019M09,93.08
2019M10,88.53
2019M11,84.98
2019M12,92.65
2020M01,95.76
2020M02,87.68
2020M03,88.99
2020M04,84.73
2020M05,93.65
2020M06,103.3
2020M07,108.52
2020M08,121.07
2020M09,123.75
2020M10,119.78
2020M11,124.36
2020M12,155.43
2021M01,169.63
2021M02,163.8
2021M03,168.18
2021M04,179.83
2021M05,207.72
2021M06,214.43
2021M07,214.14
2021M08,162.16
2021M09,124.52
2021M10,122.91
2021M11,96.24
2021M12,116.96
2022M01,132.53
2022M02,142.84
2022M03,152.07
2022M04,151.25
2022M05,131.21
2022M06,130.74
2022M07,108.57
2022M08,108.85
2022M09,99.81
2022M10,92.56
