Row Labels,Sum of PRICE
Alexander Heights,"$58,020,500"
Alfred Cove,"$100,810,388"
Alkimos,"$47,167,478"
Anketell,"$19,166,500"
Applecross,"$108,758,500"
Ardross,"$129,729,584"
Armadale,"$15,536,500"
Ascot,"$96,403,100"
Ashby,"$86,031,250"
Ashfield,"$79,530,000"
Attadale,"$135,971,757"
Atwell,"$105,803,448"
Aubin Grove,"$92,467,416"
Aveley,"$65,266,000"
Balcatta,"$37,248,600"
Baldivis,"$45,291,250"
Balga,"$17,943,000"
Ballajura,"$58,071,418"
Banjup,"$35,314,888"
Banksia Grove,"$63,473,100"
Baskerville,"$18,081,000"
Bassendean,"$51,915,995"
Bateman,"$94,555,400"
Bayswater,"$58,363,638"
Beaconsfield,"$88,282,050"
Beckenham,"$28,410,388"
Bedford,"$57,462,635"
Bedfordale,"$95,827,230"
Beechboro,"$41,212,700"
Beeliar,"$86,877,550"
Beldon,"$74,971,615"
Belhus,"$27,891,000"
Bellevue,"$40,199,240"
Belmont,"$36,873,511"
Bennett Springs,"$104,569,854"
Bentley,"$37,069,550"
Bertram,"$88,152,700"
Bibra Lake,"$72,939,664"
Bickley,"$46,149,250"
Bicton,"$83,436,767"
Booragoon,"$82,196,500"
Boya,"$51,607,300"
Brabham,"$27,267,701"
Brentwood,"$100,916,250"
Brigadoon,"$72,625,025"
Brookdale,"$42,853,348"
Bull Creek,"$70,478,500"
Bullsbrook,"$49,380,878"
Burns Beach,"$118,608,378"
Burswood,"$34,133,000"
Butler,"$79,330,500"
Byford,"$51,630,200"
Calista,"$40,226,500"
Camillo,"$39,121,500"
Canning Vale,"$92,038,188"
Cannington,"$36,178,380"
Carabooda,"$19,257,500"
Cardup,"$53,704,000"
Carine,"$95,863,050"
Carlisle,"$42,359,800"
Carmel,"$31,981,500"
Carramar,"$109,038,770"
Casuarina,"$46,753,349"
Caversham,"$70,090,000"
Champion Lakes,"$57,306,000"
Chidlow,"$53,737,250"
Churchlands,"$173,413,000"
City Beach,"$258,143,382"
Claremont,"$80,774,288"
Clarkson,"$63,673,833"
Cloverdale,"$30,682,000"
Cockburn Central,"$16,260,500"
Como,"$58,665,650"
Connolly,"$88,209,250"
Coogee,"$103,507,200"
Coolbellup,"$43,934,000"
