DATAFLOW,MEASURE: Measure,INDEX: Index,TYPE: Product Type,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,BASE_PERIOD: Reference Base Period,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment,DECIMALS: Decimals
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2008-Q1,75.6,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2008-Q2,76,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2008-Q3,75.7,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2008-Q4,79.7,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2009-Q1,78.6,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2009-Q2,79.7,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2009-Q3,81.4,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2009-Q4,81.2,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2010-Q1,80.7,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2010-Q2,83,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2010-Q3,92.7,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2010-Q4,93.4,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2011-Q1,96.3,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2011-Q2,97.5,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2011-Q3,99,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2011-Q4,99.8,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2012-Q1,99.8,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2012-Q2,101.4,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2012-Q3,104.8,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2012-Q4,104.8,IN: Index Numbers,,,,1: One
