DATAFLOW,Unit of Measurement,Property Type,Region,Frequency,Time Period,Observation Value,Date,Iron Ore Price,House Sold Value,Units Sold Number,Time Value
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,Greater Perth,Q: Quarterly,2008-Q1,-1.1,2008M01,192.2,"$7,273,333",10.0,39448
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,Greater Perth,Q: Quarterly,2008-Q2,-2.3,2008M04,190.94,"$7,898,333",11.67,39539
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,Greater Perth,Q: Quarterly,2008-Q3,-2.2,2008M07,166.29,"$7,774,000",12.0,39630
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,Greater Perth,Q: Quarterly,2008-Q4,-2.3,2008M10,74.53,"$7,333,167",13.33,39722
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,Greater Perth,Q: Quarterly,2009-Q1,-0.4,2009M01,70.72,"$11,682,833",18.0,39814
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,Greater Perth,Q: Quarterly,2009-Q2,2.2,2009M04,64.71,"$9,493,333",16.33,39904
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,Greater Perth,Q: Quarterly,2009-Q3,2.9,2009M07,87.44,"$18,808,333",26.67,39995
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,Greater Perth,Q: Quarterly,2009-Q4,5.8,2009M10,97.04,"$13,007,000",19.67,40087
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,Greater Perth,Q: Quarterly,2010-Q1,3.3,2010M01,130.97,"$17,275,000",24.0,40179
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,Greater Perth,Q: Quarterly,2010-Q2,-0.2,2010M04,159.15,"$15,902,064",22.67,40269
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,Greater Perth,Q: Quarterly,2010-Q3,-2.6,2010M07,137.44,"$15,245,433",19.67,40360
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,Greater Perth,Q: Quarterly,2010-Q4,-0.1,2010M10,155.89,"$18,452,633",24.0,40452
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,Greater Perth,Q: Quarterly,2011-Q1,-1.0,2011M01,178.57,"$17,487,222",25.67,40544
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,Greater Perth,Q: Quarterly,2011-Q2,-3.1,2011M04,175.75,"$19,967,322",27.33,40634
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,Greater Perth,Q: Quarterly,2011-Q3,-0.6,2011M07,175.9,"$20,059,767",29.67,40725
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,Greater Perth,Q: Quarterly,2011-Q4,0.5,2011M10,140.79,"$22,829,433",38.0,40817
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,Greater Perth,Q: Quarterly,2012-Q1,0.9,2012M01,141.77,"$22,259,959",36.67,40909
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,Greater Perth,Q: Quarterly,2012-Q2,0.6,2012M04,139.64,"$32,597,667",49.0,41000
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,Greater Perth,Q: Quarterly,2012-Q3,1.2,2012M07,111.64,"$34,933,500",58.0,41091
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,Greater Perth,Q: Quarterly,2012-Q4,3.4,2012M10,120.94,"$37,641,000",61.33,41183
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,Greater Perth,Q: Quarterly,2013-Q1,2.1,2013M01,148.33,"$55,057,631",88.67,41275
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,Greater Perth,Q: Quarterly,2013-Q2,3.0,2013M04,125.41,"$60,229,804",91.67,41365
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,Greater Perth,Q: Quarterly,2013-Q3,0.1,2013M07,132.81,"$59,734,493",98.67,41456
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,Greater Perth,Q: Quarterly,2013-Q4,3.0,2013M10,134.89,"$75,021,796",113.67,41548
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,Greater Perth,Q: Quarterly,2014-Q1,0.9,2014M01,120.44,"$78,077,017",128.33,41640
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,Greater Perth,Q: Quarterly,2014-Q2,0.0,2014M04,102.63,"$101,684,888",158.67,41730
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,Greater Perth,Q: Quarterly,2014-Q3,-0.2,2014M07,90.35,"$104,079,110",167.33,41821
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,Greater Perth,Q: Quarterly,2014-Q4,0.0,2014M10,74.39,"$129,842,029",194.67,41913
